COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Republican,BALLOTS CAST - Democratic,"REP Circuit Court Judge, Div. 2","REP Circuit Court Judge, Div. 2",REP County Mayor,REP County Mayor,"REP County Commission, District 1","REP County Commission, District 1","REP County Commission, District 2","REP County Commission, District 2","REP County Commission, District 2","REP County Commission, District 3","REP County Commission, District 3","REP County Commission, District 4","REP County Commission, District 4","REP County Commission, District 5","REP County Commission, District 5","REP County Commission, District 6","REP County Commission, District 6","REP County Commission, District 7","REP County Commission, District 7","REP County Commission, District 8","REP County Commission, District 8","REP County Commission, District 9","REP County Commission, District 9","REP County Commission, District 9","REP County Commission, District 10","REP County Commission, District 10","REP County Commission, District 10","REP County Commission, District 11","REP County Commission, District 11",REP County Trustee,REP County Trustee,REP Sheriff,REP Sheriff,REP Circuit Court Clerk,REP Circuit Court Clerk,REP Criminal Court Clerk,REP Criminal Court Clerk,REP Criminal Court Clerk,REP Juvenile Court Clerk,REP Juvenile Court Clerk,REP County Clerk,REP County Clerk,REP Register of Deeds,REP Register of Deeds,"REP County School Board, District 3","REP County School Board, District 3","REP County School Board, District 5","REP County School Board, District 5","REP County School Board, District 6","REP County School Board, District 6","REP County School Board, District 8","REP County School Board, District 8","REP County School Board, District 8","REP County School Board, District 9","REP County School Board, District 9","REP County School Board, District 9",REP Lookout Mountain School Board,REP Lookout Mountain School Board,"DEM Circuit Court Judge, Div. 2","DEM Circuit Court Judge, Div. 2",DEM County Mayor,DEM County Mayor,"DEM County Commission, District 1","DEM County Commission, District 1","DEM County Commission, District 2","DEM County Commission, District 2","DEM County Commission, District 3","DEM County Commission, District 3","DEM County Commission, District 4","DEM County Commission, District 4","DEM County Commission, District 4","DEM County Commission, District 5","DEM County Commission, District 5","DEM County Commission, District 5","DEM County Commission, District 6","DEM County Commission, District 6","DEM County Commission, District 7","DEM County Commission, District 7","DEM County Commission, District 8","DEM County Commission, District 8","DEM County Commission, District 9","DEM County Commission, District 9","DEM County Commission, District 10","DEM County Commission, District 10","DEM County Commission, District 11","DEM County Commission, District 11",DEM County Trustee,DEM County Trustee,DEM Sheriff,DEM Sheriff,DEM Circuit Court Clerk,DEM Circuit Court Clerk,DEM Criminal Court Clerk,DEM Criminal Court Clerk,DEM Juvenile Court Clerk,DEM Juvenile Court Clerk,DEM County Clerk,DEM County Clerk,DEM Register of Deeds,DEM Register of Deeds,"DEM County School Board, District 3","DEM County School Board, District 3","DEM County School Board, District 5","DEM County School Board, District 5","DEM County School Board, District 5","DEM County School Board, District 6","DEM County School Board, District 6","DEM County School Board, District 8","DEM County School Board, District 8","DEM County School Board, District 8","DEM County School Board, District 9","DEM County School Board, District 9",DEM Lookout Mountain School Board,DEM Lookout Mountain School Board,
,,,,,REP,DEM,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Jennifer K. Peck,Write-in,Weston Wamp,Write-in,Gene-o Shipley,Write-in,Chip Baker,Brad Wardlaw,Write-in,Ken Smith,Write-in,No Candidate Qualified,Write-in,No Candidate Qualified,Write-in,No Candidate Qualified,Write-in,Lee Helton,Write-in,Mike Chauncey,Write-in,Donna Christian-Lowe,Steve Highlander,Write-in,Jeff Eversole,Tonya Sadler,Write-in,"Joseph ""Joe"" Graham",Write-in,Bill Hullander,Write-in,Austin Garrett,Write-in,Larry L. Henry,Write-in,Archie Scott Currence,Vince Dean,Write-in,Gary D. Behler,Write-in,Brooke Weaver,Write-in,Marc Gravitt,Write-in,Ashley R Dillon,Write-in,No Candidate Qualified,Write-in,Cindy Fain,Write-in,Sabrina Daniel,Sterling DuPre,Write-in,Gary Kuehn,James B. Walker,Write-in,No Candidate Qualified,Write-in,No Candidate Qualified,Write-in,Mark Herndon,Write-in,Mona Petro,Write-in,Amanda Sovago-Royal,Write-in,No Candidate Qualified,Write-in,Warren Mackey,Elea Anita Wright,Write-in,Greg Beck,Katherlyn Geter,Write-in,David Sharpe,Write-in,Laura J. Bertrand,Write-in,Joshua Wichman,Write-in,No Candidate Qualified,Write-in,No Candidate Qualified,Write-in,Montrell Besley,Write-in,No Candidate Qualified,Write-in,No Candidate Qualified,Write-in,No Candidate Qualified,Write-in,Aaliyah K. Hakeem,Write-in,No Candidate Qualified,Write-in,No Candidate Qualified,Write-in,No Candidate Qualified,Write-in,Ruth Walker,Write-in,Micah Chapman,Thessela White,Write-in,Ben Connor,Write-in,Betty J. Duggan,Katie Perkins,Write-in,Jordan Hammond,Write-in,No Candidate Qualified,Write-in,
,0001,AIRPORT A,430,53,2,51,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,2,0,0,0,0,0,0,0,0,0,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,45,1,0,1,0,1,0,1,0,0,16,34,0,0,0,0,0,0,0,0,0,0,
,0002,AIRPORT B,1292,208,55,153,48,0,51,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,52,0,48,0,14,33,0,49,0,50,0,50,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,114,0,0,0,0,0,0,0,0,0,0,57,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,141,2,0,5,0,3,0,4,0,0,63,87,0,0,0,0,0,0,0,0,0,0,
,0003,ALTON PARK,1863,206,9,197,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,7,0,6,0,6,3,0,7,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,139,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,3,0,8,0,9,0,8,181,1,0,8,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0004,APISON A,1859,87,76,11,66,0,63,6,0,0,0,0,0,0,0,0,0,0,0,0,0,65,4,0,0,0,0,0,0,0,0,0,0,66,2,72,0,69,0,17,51,0,71,0,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0005,APISON B,2608,285,235,50,192,3,183,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,80,1,0,0,206,8,200,7,203,2,61,141,1,194,3,190,3,198,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,2,0,3,46,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0006,AVONDALE,1238,179,2,177,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,2,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,121,2,0,0,0,0,0,0,121,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,8,158,2,0,5,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0007,BIRCHWOOD,2169,321,281,40,241,1,245,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,247,0,0,0,0,0,0,261,2,261,3,248,1,61,187,1,242,1,242,1,246,1,0,0,0,0,0,0,0,0,0,121,147,0,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,3,37,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,39,0,0,0,
,0008,BONNY OAKS,2243,455,18,437,18,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,18,0,16,1,6,10,0,16,1,18,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,335,5,0,0,0,0,0,0,0,0,0,189,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,22,0,17,401,3,0,18,0,25,0,17,0,0,179,244,2,0,0,0,0,0,0,0,0,0,
